nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
signals,suffer,suffers,control signals used by the fax transmission also suffer in the process .,control signals used by the fax transmission also [MASK] in the process .,suffer,suffer,13,7,3,1,8,3,2,,
reviews,make,makes,"recent reviews suggest that , while distributing for xblig is relatively easy , games on the platform often make very small earnings , compared to other platforms , prompting many indie developers to move on from the xbox 360 platform .","recent reviews suggest that , while distributing for xblig is relatively easy , games on the platform often [MASK] very small earnings , compared to other platforms , prompting many indie developers to move on from the xbox 360 platform .",make,make,41,17,2,2,18,1,2,,
stamps,feature,features,"other stamps in the series feature the kangaroo , banded anteater , tiger cat , rabbit bandicoot and the tasmanian tiger ( now believed extinct ) .","other stamps in the series [MASK] the kangaroo , banded anteater , tiger cat , rabbit bandicoot and the tasmanian tiger ( now believed extinct ) .",feature,feature,27,4,1,0,5,1,1,,
versions,continue,continues,"the plan was however taken up as a pleasure craft , and new versions for that purpose continue to be built .","the plan was however taken up as a pleasure craft , and new versions for that purpose [MASK] to be built .",continue,continue,22,4,4,1,17,4,1,,
females,create,creates,females of the cephalopod genus argonauta create a papery egg case which sometimes washes up on tropical beaches and is referred to as a paper nautilus .,females of the cephalopod genus argonauta [MASK] a papery egg case which sometimes washes up on tropical beaches and is referred to as a paper nautilus .,create,create,27,6,2,0,6,2,2,,
companies,represent,represents,"there are many companies in the indian market who rent keywords , on a monthly basis , whose characters , on a typical mobile phone keypad , represent short codes .","there are many companies in the indian market who rent keywords , on a monthly basis , whose characters , on a typical mobile phone keypad , [MASK] short codes .",represents,represents,31,24,6,2,27,4,2,,
proponents,continue,continues,some present  day proponents of the psychogenic theory of autism continue to maintain that the condition is a result of poor parenting .,some present  day proponents of the psychogenic theory of autism [MASK] to maintain that the condition is a result of poor parenting .,continues,continue,24,7,3,0,11,3,1,,
stars,have,has,"the stars within an asterism rarely have any substantial astrophysical relationship to each other , and their apparent proximity when viewed from earth disguises the fact that they are far apart , some being much farther from earth than others .","the stars within an asterism rarely [MASK] any substantial astrophysical relationship to each other , and their apparent proximity when viewed from earth disguises the fact that they are far apart , some being much farther from earth than others .",have,has,41,5,1,0,6,1,2,,
historians,include,includes,famous historians in this tradition include urwah ( d .,famous historians in this tradition [MASK] urwah ( d .,include,include,10,4,1,0,5,1,1,,
demons,appear,appears,numerous demons from the manga appear in the game as bosses .,numerous demons from the manga [MASK] in the game as bosses .,appear,appear,12,4,1,0,5,1,1,,
students,operate,operates,"students from wheeling park high school 's tv station , wphp  tv , operate the cameras for all wheeling park football and soccer games .","students from wheeling park high school 's tv station , wphp  tv , [MASK] the cameras for all wheeling park football and soccer games .",operates,operates,26,14,3,2,14,3,7,,
facilities,include,includes,"other facilities in the village include a newsagent 's , a post office , kia and land rover garages , an award  winning delicatessen , and two garden centres .","other facilities in the village [MASK] a newsagent 's , a post office , kia and land rover garages , an award  winning delicatessen , and two garden centres .",include,include,31,4,1,0,5,1,1,,
shows,find,finds,tv shows as evidence of notability just because you find them distasteful .,tv shows as evidence of notability just because you [MASK] them distasteful .,find,find,13,8,3,1,9,3,4,,
titles,include,includes,"other harmonix titles with a contribution from this band include frequency 's sequel amplitude , karaoke revolution , guitar hero , guitar hero ii , and rock band .","other harmonix titles with a contribution from this band [MASK] frequency 's sequel amplitude , karaoke revolution , guitar hero , guitar hero ii , and rock band .",include,include,29,7,2,0,9,2,1,,
credits,include,includes,"his credits as record producer include the soup dragons 's album lovegod which included their cover of the rolling stones hit i 'm free and the most accomplished of the three albums my life story , the golden mile .","his credits as record producer [MASK] the soup dragons 's album lovegod which included their cover of the rolling stones hit i 'm free and the most accomplished of the three albums my life story , the golden mile .",include,include,40,4,2,0,5,2,1,,
members,say,says,members of the movement say it is based on the teachings of marcus garvey and that they use cannabis as the rastafari sacrament .,members of the movement [MASK] it is based on the teachings of marcus garvey and that they use cannabis as the rastafari sacrament .,say,say,24,4,1,0,4,1,1,,
people,have,has,"therefore , the people we are fighting and the society that sends them have no moral inhibitions .","therefore , the people we are fighting and the society that sends them [MASK] no moral inhibitions .",have,have,18,10,1,2,13,1,4,,
schools,require,requires,"the four schools of islamic law require women to cover all but the hands and the face , following several ahadith to this effect , while men are only required to cover from the navel to the knee .","the four schools of islamic law [MASK] women to cover all but the hands and the face , following several ahadith to this effect , while men are only required to cover from the navel to the knee .",require,require,39,4,0,0,6,0,none,,
elements,offer,offers,"these cis   and trans  acting elements , along with mirnas , offer a limitless range of control possibilities within a single mrna .","these cis   and trans  acting elements , along with mirnas , [MASK] a limitless range of control possibilities within a single mrna .",offer,offers,26,6,1,0,14,0,none,,
students,take,takes,more than 130 students per year take part in it being citizens either of foreign countries or different regions of russia .,more than 130 students per year [MASK] part in it being citizens either of foreign countries or different regions of russia .,take,take,22,3,1,0,6,1,1,,
complaints,become,becomes,"criticism of the supermodel as an industry has been frequent inside and outside the fashion press , from complaints that women desiring this status become unhealthily thin to charges of racism , where the supermodel generally has to conform to a northern european standard of beauty .","criticism of the supermodel as an industry has been frequent inside and outside the fashion press , from complaints that women desiring this status [MASK] unhealthily thin to charges of racism , where the supermodel generally has to conform to a northern european standard of beauty .",become,become,47,6,7,1,24,6,1,,
facilities,include,includes,"current facilities of the school include a library , full  size gymnasium , drama room with lighting , sound equipment and stage curtains , canteen , year 12 outdoor area and common room , school hall , aboriginal resource room , agricultural farm , and a special education unit .","current facilities of the school [MASK] a library , full  size gymnasium , drama room with lighting , sound equipment and stage curtains , canteen , year 12 outdoor area and common room , school hall , aboriginal resource room , agricultural farm , and a special education unit .",include,include,51,4,1,0,5,1,1,,
causes,have,has,the perceived causes of sexual orientation have a significant bearing on the status of sexual minorities in the eyes of social conservatives .,the perceived causes of sexual orientation [MASK] a significant bearing on the status of sexual minorities in the eyes of social conservatives .,have,have,23,4,1,1,6,1,1,,
natives,defeat,defeats,"natives of the island of tenerife , known as guanches , defeat the invading spanish forces .","natives of the island of tenerife , known as guanches , [MASK] the invading spanish forces .",defeat,defeat,17,11,2,1,11,1,8,,
clients,provide,provides,"center for clinical education , which brings clients in need of legal advice to boalt , where students and faculty provide counsel .","center for clinical education , which brings clients in need of legal advice to boalt , where students and faculty [MASK] counsel .",provides,provide,23,13,7,1,20,6,1,,
developments,include,includes,further developments to the car include using an independent rear suspension as opposed to the previously used live axle .,further developments to the car [MASK] using an independent rear suspension as opposed to the previously used live axle .,include,include,20,4,1,0,5,1,1,,
credits,include,includes,remix credits under his own name include goldfrapp and mediengruppe telekommander .,remix credits under his own name [MASK] goldfrapp and mediengruppe telekommander .,include,include,12,5,2,0,6,2,1,,
strands,produce,produces,fully pigmented strands in the mature stoma produce bowl  shaped pseudothecia and these outermost hyphae cease to grow .,fully pigmented strands in the mature stoma [MASK] bowl  shaped pseudothecia and these outermost hyphae cease to grow .,produce,produce,20,5,1,1,7,1,1,,
members,make,makes,"the members of this group make it their duty to keep associated articles maintained concerning verifiability , notability , neutrality , perspective , tone , and grammatical issues .","the members of this group [MASK] it their duty to keep associated articles maintained concerning verifiability , notability , neutrality , perspective , tone , and grammatical issues .",make,make,29,4,1,0,5,1,1,,
estimates,vary,varies,"estimates on the size of the jewish community vary from 20 , 000 to 30 , 000 .","estimates on the size of the jewish community [MASK] from 20 , 000 to 30 , 000 .",vary,vary,18,8,2,0,8,2,1,,
games,include,includes,later games in the series include some major champions including the eleven us triple crown winners .,later games in the series [MASK] some major champions including the eleven us triple crown winners .,include,include,17,4,1,0,5,1,1,,
novels,follow,follows,other novels in the series follow additional assassins and their journeys for revenge or victory .,other novels in the series [MASK] additional assassins and their journeys for revenge or victory .,follow,follow,16,4,1,0,5,1,1,,
settlements,include,includes,"other settlements in the municipality include the villages of bjørnevatn , bugøynes , elvenes , grense jakobselv , hesseng , jakobsnes , neiden , and sandnes .","other settlements in the municipality [MASK] the villages of bjørnevatn , bugøynes , elvenes , grense jakobselv , hesseng , jakobsnes , neiden , and sandnes .",include,include,27,4,1,0,5,1,1,,
scales,exist,exists,"other sleepiness scales , including the stanford sleepiness scale and the epworth sleepiness scale ( ess ) , exist .","other sleepiness scales , including the stanford sleepiness scale and the epworth sleepiness scale ( ess ) , [MASK] .",exists,exists,20,16,5,1,18,5,10,,
references,exist,exists,"references to the work of tolkien also exist in other led zeppelin songs , such as the battle of evermore , no quarter , and ramble on .","references to the work of tolkien also [MASK] in other led zeppelin songs , such as the battle of evermore , no quarter , and ramble on .",exist,exist,28,7,1,0,7,1,4,,
examples,include,includes,examples without an intro include bugles and drums and the footlifter .,examples without an intro [MASK] bugles and drums and the footlifter .,include,include,12,4,1,0,4,1,1,,
elements,relate,relates,"though elements of their work necessarily relate to structuralism and are informed by it , these theorists have generally been referred to as post  structuralists .","though elements of their work necessarily [MASK] to structuralism and are informed by it , these theorists have generally been referred to as post  structuralists .",relate,relate,27,5,1,0,6,1,2,,
types,suggest,suggests,the several different types of anosmia suggest several different causes for the symptoms .,the several different types of anosmia [MASK] several different causes for the symptoms .,suggests,suggests,14,3,1,0,6,1,1,,
editors,have,has,comment i suggest we keep this discussion thread open while regular editors of the article have a chance to respond .,comment i suggest we keep this discussion thread open while regular editors of the article [MASK] a chance to respond .,have,have,21,4,4,2,15,4,1,,
releases,indicate,indicates,"while a release is unlikely , the potential releases calculated for the tn  68 rail package and the nac lwt truck package indicate that any release of crud from either package would be very small    less than an a2 quantity .","while a release is unlikely , the potential releases calculated for the tn  68 rail package and the nac lwt truck package [MASK] that any release of crud from either package would be very small    less than an a2 quantity .",indicate,indicate,45,15,5,1,23,5,7,,
atoms,provide,provides,"hadronic atoms , such as pionic hydrogen and kaonic hydrogen , thus provide interesting experimental probes of the theory of strong interactions , quantum chromodynamics .","hadronic atoms , such as pionic hydrogen and kaonic hydrogen , thus [MASK] interesting experimental probes of the theory of strong interactions , quantum chromodynamics .",provides,provides,26,11,2,0,12,2,6,,
members,tend,tends,"the members of the community tend to live in the buildings on bennett avenue , overlook terrace , and the adjacent cross streets towards the west and fort washington avenue .","the members of the community [MASK] to live in the buildings on bennett avenue , overlook terrace , and the adjacent cross streets towards the west and fort washington avenue .",tend,tend,31,4,1,0,5,1,1,,
settlements,include,includes,"settlements in the barony include castleconnell , caherconlish , and monaleen .","settlements in the barony [MASK] castleconnell , caherconlish , and monaleen .",include,include,12,4,1,0,4,1,1,,
studies,suggest,suggests,"la nmr studies on the diamagnetic la  bopta2   complex suggest that the gd complex maintains in solution the same kind of coordination as found , by x  ray crystallography , in the solid state for gd  bopta disodium salt .","la nmr studies on the diamagnetic la  bopta2   complex [MASK] that the gd complex maintains in solution the same kind of coordination as found , by x  ray crystallography , in the solid state for gd  bopta disodium salt .",suggest,suggests,45,10,1,0,12,1,4,,
managers,include,includes,"successful managers of this era include bill shankly , bob paisley , don revie , john lyall , brian clough , ron saunders , ron atkinson , bobby robson and keith burkinshaw .","successful managers of this era [MASK] bill shankly , bob paisley , don revie , john lyall , brian clough , ron saunders , ron atkinson , bobby robson and keith burkinshaw .",include,include,33,4,1,0,5,1,1,,
foundations,remain,remains,only the foundations of the church remain .,only the foundations of the church [MASK] .,remain,remain,8,4,1,0,6,1,1,,
events,remain,remains,"the events of this revolution remain to this day a matter of debate , with many conflicting theories as to the motivations and even actions of some of the main players .","the events of this revolution [MASK] to this day a matter of debate , with many conflicting theories as to the motivations and even actions of some of the main players .",remain,remain,32,4,1,0,5,1,1,,
origins,remain,remains,"the origins and purpose of this die remain unknown , though the authors of a 1978 book on the great seal speculated it was a gift to washington and possibly an early version ( or forerunner ) of a presidential seal .","the origins and purpose of this die [MASK] unknown , though the authors of a 1978 book on the great seal speculated it was a gift to washington and possibly an early version ( or forerunner ) of a presidential seal .",remain,remain,42,6,2,0,7,2,1,,
people,know,knows,he points out at the outset that most people today know no more of the canals than they do of the old green roads which the pack  horse trains once travelled .,he points out at the outset that most people today [MASK] no more of the canals than they do of the old green roads which the pack  horse trains once travelled .,know,know,33,2,2,1,10,2,1,,
rivers,include,includes,"large rivers in the district include chu river , chong  kemin river , kichi  kemin river and so on .","large rivers in the district [MASK] chu river , chong  kemin river , kichi  kemin river and so on .",include,include,22,4,1,0,5,1,1,,
witnesses,do,does,the witnesses are called to share their memories of the murder night and one after the other they do .,the witnesses are called to share their memories of the murder night and one after the other they [MASK] .,do,do,20,17,3,2,18,2,7,,
members,have,has,several members of the chorus have little or no formal music training .,several members of the chorus [MASK] little or no formal music training .,have,have,13,4,1,0,5,1,1,,
forms,produce,produces,"however , it is not enough to study variation alone because the two main forms of linked selection , background and hitchhiking , produce a loss in diversity , and the models both predict similar results in genomic regions of high recombination .","however , it is not enough to study variation alone because the two main forms of linked selection , background and hitchhiking , [MASK] a loss in diversity , and the models both predict similar results in genomic regions of high recombination .",produce,produce,43,9,4,2,23,4,2,,
longs,move,moves,"episode 8 immunity challenge    each survivor holds a rod over fire for as longs as possible , if the rod lights on fire or they move the rod away from the fire they are out .","episode 8 immunity challenge    each survivor holds a rod over fire for as longs as possible , if the rod lights on fire or they [MASK] the rod away from the fire they are out .",move,move,39,12,9,1,28,8,15,,
pitchers,prefer,prefers,"many pitchers , especially those without exceptional velocity , prefer a two  seam fastball to the four  seam because of its movement at the plate .","many pitchers , especially those without exceptional velocity , [MASK] a two  seam fastball to the four  seam because of its movement at the plate .",prefer,prefer,28,8,1,0,9,1,2,,
species,have,has,species in the genus have membranous fruit bodies that are either completely resupinate or effuso  reflexed ( stretched out flat on the substrate but turned up at the edges ) .,species in the genus [MASK] membranous fruit bodies that are either completely resupinate or effuso  reflexed ( stretched out flat on the substrate but turned up at the edges ) .,have,have,32,4,1,0,4,1,1,,
events,include,includes,notable events that have happened to croydon 's skyline include the millennium project to create the largest single urban lighting project ever .,notable events that have happened to croydon 's skyline [MASK] the millennium project to create the largest single urban lighting project ever .,include,include,23,8,0,1,9,0,none,,
categories,exist,exists,"different categories of license often exist for different types of motor vehicles , particularly large trucks and passenger vehicles .","different categories of license often [MASK] for different types of motor vehicles , particularly large trucks and passenger vehicles .",exist,exist,20,4,1,0,5,1,2,,
poems,have,has,"a number of hebrew poems were produced in the first half of the 19th century , in which the letters of each verse have the same numerical value , being generally the year in which it was written .","a number of hebrew poems were produced in the first half of the 19th century , in which the letters of each verse [MASK] the same numerical value , being generally the year in which it was written .",have,have,39,19,5,1,23,4,1,,
names,include,includes,"other names in common use include precorrin  6 methyltransferase , and precorrin  6y methylase .","other names in common use [MASK] precorrin  6 methyltransferase , and precorrin  6y methylase .",include,include,17,4,1,0,5,1,1,,
schools,include,includes,schools in the area include st .,schools in the area [MASK] st .,include,include,7,4,1,0,4,1,1,,
villages,include,includes,other villages within the commune include buschrodt and grevels .,other villages within the commune [MASK] buschrodt and grevels .,include,include,10,4,1,0,5,1,1,,
objects,need,needs,"in this case , the problem is assumed to be well  posed in special relativity , but because the effect is dependent on objects and fluids with mass , the effects of general relativity need to be taken into account .","in this case , the problem is assumed to be well  posed in special relativity , but because the effect is dependent on objects and fluids with mass , the effects of general relativity [MASK] to be taken into account .",needs,need,42,11,8,2,35,6,20,,
patterns,produce,produces,"in translocation heterozygote , however , certain patterns of chromosome segregation during meiosis produce genetically unbalanced gametes that at fertilization become deleterious to the zygote .","in translocation heterozygote , however , certain patterns of chromosome segregation during meiosis [MASK] genetically unbalanced gametes that at fertilization become deleterious to the zygote .",produces,produces,26,6,4,0,13,4,3,,
businesses,get,gets,i 'm worried when businesses with some degree of legitimacy get the idea that it 's ok to spam wikipedia .,i 'm worried when businesses with some degree of legitimacy [MASK] the idea that it 's ok to spam wikipedia .,get,get,21,6,1,2,10,1,3,,
examples,include,includes,"examples of his power include a grounded home run in nagoya dome ( first in dome history ) , hitting the light unit above the advertisement board in tokyo dome , as well as hitting the top  level stand in the nagoya and osaka domes .","examples of his power [MASK] a grounded home run in nagoya dome ( first in dome history ) , hitting the light unit above the advertisement board in tokyo dome , as well as hitting the top  level stand in the nagoya and osaka domes .",include,include,47,4,1,0,4,1,1,,
thinkers,include,includes,"notable thinkers who recognize emerson 's influence include nietzsche and william james , emerson 's godson .","notable thinkers who recognize emerson 's influence [MASK] nietzsche and william james , emerson 's godson .",include,include,17,6,1,1,7,1,1,,
reports,suggest,suggests,some dubious reports and analysis later suggest that the pakistani pilots were under orders not to fire back .,some dubious reports and analysis later [MASK] that the pakistani pilots were under orders not to fire back .,suggest,suggest,19,4,1,0,6,1,2,,
sodas,contain,contains,"sodas , juices , and sparkling cider contain no alcohol , but non  alcoholic beer and non  alcoholic wine undergo an alcohol  removal process that may leave a small amount of alcohol .","sodas , juices , and sparkling cider [MASK] no alcohol , but non  alcoholic beer and non  alcoholic wine undergo an alcohol  removal process that may leave a small amount of alcohol .",contains,contain,36,7,3,0,7,2,1,,
pages,have,has,many pages about real technology have a section about their appearances in fiction .,many pages about real technology [MASK] a section about their appearances in fiction .,have,have,14,4,1,0,5,1,1,,
sectors,send,sends,"on the uplink ( phone  to  cell  site ) , all the cell site sectors that are actively supporting a call in soft handover send the bit stream that they receive back to the radio network controller ( rnc ) , along with information about the quality of the received bits .","on the uplink ( phone  to  cell  site ) , all the cell site sectors that are actively supporting a call in soft handover [MASK] the bit stream that they receive back to the radio network controller ( rnc ) , along with information about the quality of the received bits .",sends,send,55,10,8,1,27,8,1,,
thousands,continue,continues,"this child has uniquely touched many thousands of readers and contributors in a once in a lifetime way , and her actions and example continue to be spread by word of mouth all over the us and as far away as australia and europe .","this child has uniquely touched many thousands of readers and contributors in a once in a lifetime way , and her actions and example [MASK] to be spread by word of mouth all over the us and as far away as australia and europe .",continue,continue,45,18,8,1,24,5,1,,
players,employ,employs,"other players , whose personal point  of  no  return is closer to their home base , naturally employ more defensive tactics such as guarding the line , the jail , or shadowing spies .","other players , whose personal point  of  no  return is closer to their home base , naturally [MASK] more defensive tactics such as guarding the line , the jail , or shadowing spies .",employ,employ,37,19,4,0,20,4,3,,
edits,appear,appears,"the edits preceding the protection appear to be part of quite a fight , and it does n't appear that it had slacked off since the time before the review came here , so the article clearly was n't stable .","the edits preceding the protection [MASK] to be part of quite a fight , and it does n't appear that it had slacked off since the time before the review came here , so the article clearly was n't stable .",appear,appears,41,4,1,1,5,1,1,,
issues,include,includes,"issues involved in mitigating damage during the lowering of the lake level include maintaining an adequate supply for irrigation , providing a steady stream for power , maintaining salmon flow augmentation , and other water rights .","issues involved in mitigating damage during the lowering of the lake level [MASK] maintaining an adequate supply for irrigation , providing a steady stream for power , maintaining salmon flow augmentation , and other water rights .",include,include,37,12,4,2,12,4,1,,
strategies,include,includes,"on cable television , programming strategies in this time slot include timeshifts of prime time programs and , in the case of children 's television channels , signing  off and allowing more adult  oriented fare for the overnight hours under another brand .","on cable television , programming strategies in this time slot [MASK] timeshifts of prime time programs and , in the case of children 's television channels , signing  off and allowing more adult  oriented fare for the overnight hours under another brand .",include,include,45,5,5,0,10,5,1,,
people,know,knows,"a telephone interview does n't qualify , as only the two people on the phone know what happened .","a telephone interview does n't qualify , as only the two people on the phone [MASK] what happened .",know,know,19,4,3,1,15,3,1,,
sites,represent,represents,"social networking sites , like much else on the internet , represent a moving target for researchers and policy makers .","social networking sites , like much else on the internet , [MASK] a moving target for researchers and policy makers .",represent,represent,21,9,2,0,11,2,2,,
artifacts,include,includes,artifacts from this period include paintings depicting wood glueing operations and a casket made of wood and glue in king tut 's tomb .,artifacts from this period [MASK] paintings depicting wood glueing operations and a casket made of wood and glue in king tut 's tomb .,include,include,24,4,1,0,4,1,1,,
examples,include,includes,"examples of this style in the county constructed before 1830 include the william allison house ( wm  232 ) , newton jordan house ( wm  259 ) , mordecai puryear house ( wm  287 ) and the douglass  reams house ( wm  540 ) .","examples of this style in the county constructed before 1830 [MASK] the william allison house ( wm  232 ) , newton jordan house ( wm  259 ) , mordecai puryear house ( wm  287 ) and the douglass  reams house ( wm  540 ) .",include,include,50,10,2,1,10,2,4,,
users,indicate,indicates,users in this category indicate they have skill level 1 for language mirandese .,users in this category [MASK] they have skill level 1 for language mirandese .,indicate,indicate,14,4,1,0,4,1,1,,
edits,seem,seems,"oppose edits and conduct seem fine , but come on .","oppose edits and conduct [MASK] fine , but come on .",seem,seem,11,3,0,2,4,0,none,,
students,provide,provides,the students in this program provide first class care to the mulerider student athletes .,the students in this program [MASK] first class care to the mulerider student athletes .,provide,provide,15,4,1,0,5,1,1,,
highlights,include,includes,highlights of the movie include the three characters played by sathyaraj as well as the glamour oozed by nagma .,highlights of the movie [MASK] the three characters played by sathyaraj as well as the glamour oozed by nagma .,include,include,20,4,1,0,4,1,1,,
advocates,promote,promotes,"advocates of human life extension promote the idea of lengthening the telomeres in certain cells through temporary activation of telomerase ( by drugs ) , or possibly permanently by gene therapy .","advocates of human life extension [MASK] the idea of lengthening the telomeres in certain cells through temporary activation of telomerase ( by drugs ) , or possibly permanently by gene therapy .",promote,promote,32,5,2,0,5,2,1,,
descendants,live,lives,"descendants of brannigan 's family still live in the village and a street is named after him , owen brannigan drive .","descendants of brannigan 's family still [MASK] in the village and a street is named after him , owen brannigan drive .",live,lives,22,6,1,0,6,1,2,,
specimens,include,includes,"specimens of interest include carya buckleyi , cedrus libani , chionanthus retusus , halesia diptera , juglans x intermedia , parrotia persica , pinus bungeana , pseudolarix amabilis , quercus persica , sorbus torminalis , taxodium ascendens , and torreya grandis .","specimens of interest [MASK] carya buckleyi , cedrus libani , chionanthus retusus , halesia diptera , juglans x intermedia , parrotia persica , pinus bungeana , pseudolarix amabilis , quercus persica , sorbus torminalis , taxodium ascendens , and torreya grandis .",include,include,42,3,1,0,3,1,1,,
writers,include,includes,"regular writers in the magazine include sanders , cissell , ashley , mike mccracken , mark simpson  vos , alfred hamilton and jack morton .","regular writers in the magazine [MASK] sanders , cissell , ashley , mike mccracken , mark simpson  vos , alfred hamilton and jack morton .",include,include,26,4,1,0,5,1,1,,
issues,appear,appears,"if issues regarding this new user ( who appear unrelated to the master account ) appear problematic again , it can be listed at a forum such as ani .","if issues regarding this new user ( who [MASK] unrelated to the master account ) appear problematic again , it can be listed at a forum such as ani .",appears,appear,30,7,1,1,8,1,3,,
artists,make,makes,"artists under the label make music within a wide range of musical genres , from bossa nova , funk and folk , to electronic music and dubstep .","artists under the label [MASK] music within a wide range of musical genres , from bossa nova , funk and folk , to electronic music and dubstep .",make,make,28,4,1,0,4,1,1,,
species,include,includes,"fish species in the lake include walleye , yellow perch , northern pike , white sucker and burbot .","fish species in the lake [MASK] walleye , yellow perch , northern pike , white sucker and burbot .",include,include,19,4,2,0,5,2,1,,
views,offer,offers,"views , where care has been taken to expose for a true lateral view without any rotation , offer the best diagnostic quality .","views , where care has been taken to expose for a true lateral view without any rotation , [MASK] the best diagnostic quality .",offer,offer,24,18,3,2,18,3,2,,
investors,include,includes,"other investors in the partnership include stephens media , with roughly a one  quarter ownership stake , and gannett company , with about one  fifth .","other investors in the partnership [MASK] stephens media , with roughly a one  quarter ownership stake , and gannett company , with about one  fifth .",include,include,28,4,1,0,5,1,1,,
locations,include,includes,"some of the oldest , historic pottery locations still in operation include the original owens pottery founded in 1895 the jugtown pottery is listed on the national register of historic places .","some of the oldest , historic pottery locations still in operation [MASK] the original owens pottery founded in 1895 the jugtown pottery is listed on the national register of historic places .",include,include,32,4,2,0,11,2,1,,
implementations,need,needs,flat tax implementations without the provision of a negative income tax actually need an additional effort in order to avoid negative taxation .,flat tax implementations without the provision of a negative income tax actually [MASK] an additional effort in order to avoid negative taxation .,need,need,23,10,4,0,12,4,11,,
features,include,includes,"other features of the building include tile in the highly traveled portions , blue  heather carpet elsewhere , and wood accents on the walls and ceilings .","other features of the building [MASK] tile in the highly traveled portions , blue  heather carpet elsewhere , and wood accents on the walls and ceilings .",include,include,28,4,1,0,5,1,1,,
operators,include,includes,"the main bus operators at the station include arriva north west , avon buses and stagecoach north westbus services using the bus station operate around the town of birkenhead , throughout the wirral , and to the nearby city of liverpool via the queensway tunnel .","the main bus operators at the station [MASK] arriva north west , avon buses and stagecoach north westbus services using the bus station operate around the town of birkenhead , throughout the wirral , and to the nearby city of liverpool via the queensway tunnel .",include,include,46,4,2,0,7,2,1,,
stations,include,includes,"stations en route include hase station , the stop closest to kōtoku  in , the temple with the colossal outdoor statue of amida buddha .","stations en route [MASK] hase station , the stop closest to kōtoku  in , the temple with the colossal outdoor statue of amida buddha .",include,include,26,3,1,0,3,1,1,,
individuals,have,has,"in addition to the pr prolongation , individuals with a primum asd have a left axis deviation of the qrs complex while those with a secundum asd have a right axis deviation of the qrs complex .","in addition to the pr prolongation , individuals with a primum asd [MASK] a left axis deviation of the qrs complex while those with a secundum asd have a right axis deviation of the qrs complex .",has,has,37,5,4,0,12,4,2,,
readers,see,sees,"some readers , starting with mary mccarthy and including boyd , nabokov 's annotator alfred appel , see charles kinbote as an alter  ego of the insane professor v .","some readers , starting with mary mccarthy and including boyd , nabokov 's annotator alfred appel , [MASK] charles kinbote as an alter  ego of the insane professor v .",see,see,31,16,0,2,17,0,none,,
indications,go,goes,the first indications of human occupation in the area of manacor go back to 2000  1200 bc .,the first indications of human occupation in the area of manacor [MASK] back to 2000  1200 bc .,go,go,19,9,2,0,11,2,3,,
plants,produce,produces,"plants which are only distantly related to each other , such as coffee and tea , produce caffeine to deter predators .","plants which are only distantly related to each other , such as coffee and tea , [MASK] caffeine to deter predators .",produce,produce,22,16,2,0,16,2,2,,
examples,include,includes,"examples of ethnocentrism include religiously patterned constructs claiming a divine association like divine nation , one nation under god , god 's own country , god 's chosen people and god 's promised land .","examples of ethnocentrism [MASK] religiously patterned constructs claiming a divine association like divine nation , one nation under god , god 's own country , god 's chosen people and god 's promised land .",include,includes,35,3,1,0,3,1,1,,
owners,leave,leaves,"in good weather , the owners of the property often leave out a small case of second  hand books for sale , with the proceeds going to loros , leicestershire 's hospice movement .","in good weather , the owners of the property often [MASK] out a small case of second  hand books for sale , with the proceeds going to loros , leicestershire 's hospice movement .",leave,leave,35,5,2,0,10,2,2,,
acts,include,includes,"acts that have appeared at the festival include hugh masekela , kanda bongo man , the buena vista social club presents caichaito lopez etc .","acts that have appeared at the festival [MASK] hugh masekela , kanda bongo man , the buena vista social club presents caichaito lopez etc .",include,include,25,7,1,1,7,1,1,,
figures,include,includes,"prominent figures in the movement include robert aitken roshi , joanna macy , gary snyder , alan senauke , sulak sivaraksa , maha ghosananda , sylvia wetzel , joan halifax , tara brach , taigen dan leighton , ken jones , and bhikkhu bodhi .","prominent figures in the movement [MASK] robert aitken roshi , joanna macy , gary snyder , alan senauke , sulak sivaraksa , maha ghosananda , sylvia wetzel , joan halifax , tara brach , taigen dan leighton , ken jones , and bhikkhu bodhi .",include,include,45,4,1,0,5,1,1,,
windows,appear,appears,the two lancet windows in the chancel appear to be originals in the early english style .,the two lancet windows in the chancel [MASK] to be originals in the early english style .,appears,appears,17,4,2,0,7,2,1,,
establishments,sell,sells,commercial establishments within the temple complex sell religious offerings and bangles made of lac and plastic .,commercial establishments within the temple complex [MASK] religious offerings and bangles made of lac and plastic .,sell,sell,17,5,1,0,6,1,1,,
villages,include,includes,"villages in the area of the former municipality include valsøyfjord , valsøybotnen , hjellnes , and engan .","villages in the area of the former municipality [MASK] valsøyfjord , valsøybotnen , hjellnes , and engan .",include,include,18,8,2,0,8,2,1,,
theorists,move,moves,"the conspiracy theorists , according to this criticism , move the debate away from the responsibility of what they call the perpetrators of the oslo crimes .","the conspiracy theorists , according to this criticism , [MASK] the debate away from the responsibility of what they call the perpetrators of the oslo crimes .",move,move,27,7,2,1,9,2,2,,
