nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
virus,begins,begin,"the virus , which is designed to piggyback with other existing illnesses and make them more lethal , begins to reproduce with the advent of spring in the alps .","the virus , which is designed to piggyback with other existing illnesses and make them more lethal , [MASK] to reproduce with the advent of spring in the alps .",begins,begins,30,17,1,4,18,1,7,,sg
drop,falls,fall,a drop of semen falls on her face .,a drop of semen [MASK] on her face .,fall,fall,9,3,1,0,4,0,none,,sg
process,describes,describe,"the peopl process , which stands for people electing only principled leaders , describes a way to elect representatives without involving the spirit of party .","the peopl process , which stands for people electing only principled leaders , [MASK] a way to elect representatives without involving the spirit of party .",describe,describe,26,11,2,2,13,1,2,,sg
table,appears,appear,the table of contents automatically appears when there is at least four section headings so you currently need one more .,the table of contents automatically [MASK] when there is at least four section headings so you currently need one more .,appears,appears,21,4,1,0,5,1,2,,sg
aim,seems,seem,"the aim of these contemplations seems to have been to bring about the correct understanding that the various perceived aspects of a human being , when taken together , nevertheless do not comprise a 'self ' .","the aim of these contemplations [MASK] to have been to bring about the correct understanding that the various perceived aspects of a human being , when taken together , nevertheless do not comprise a 'self ' .",seem,seem,37,4,1,0,5,1,1,,sg
fragment,causes,cause,"a small fragment of bacteria causes disease in humans , and many species colonize in the human body to create an ecosystem know as bacterial flora .","a small fragment of bacteria [MASK] disease in humans , and many species colonize in the human body to create an ecosystem know as bacterial flora .",causes,cause,27,3,1,0,5,0,none,,sg
set,forms,form,"in a similar way , the set of all lorentz transformations forms a group , called the lorentz group .","in a similar way , the set of all lorentz transformations [MASK] a group , called the lorentz group .",forms,forms,20,5,2,0,11,1,1,,sg
path,fails,fail,"if a path of subgoals fails to find a solution , then that subgoal is backtracked and another path is systematically attempted .","if a path of subgoals [MASK] to find a solution , then that subgoal is backtracked and another path is systematically attempted .",fail,fails,23,3,1,0,5,1,1,,sg
use,assumes,assume,the use of statistical methods assumes a large number of degrees of freedom .,the use of statistical methods [MASK] a large number of degrees of freedom .,assumes,assumes,14,4,1,0,5,1,1,,sg
family,plays,play,the crystal structures suggests that this family of proteins plays an important role in isoprenoid quinone metabolism or in transport or storage .,the crystal structures suggests that this family of proteins [MASK] an important role in isoprenoid quinone metabolism or in transport or storage .,plays,play,23,3,3,1,9,2,1,,sg
program,does,do,"excellent program , no unnecessary features , does everything it claims to do .","excellent program , no unnecessary features , [MASK] everything it claims to do .",does,do,14,6,1,0,7,1,2,,sg
section,provides,provide,code title 5 section 7121 for federal workers provides an example framework .,code title 5 section 7121 for federal workers [MASK] an example framework .,provides,provides,13,5,3,0,8,1,1,,sg
set,has,have,"under conditions of genetic drift alone , every finite set of genes or alleles has a coalescent point at which all descendants converge to a single ancestor ( i .","under conditions of genetic drift alone , every finite set of genes or alleles [MASK] a coalescent point at which all descendants converge to a single ancestor ( i .",has,has,30,5,4,0,14,3,1,,sg
rarity,means,mean,"although the rarity of many of these elements means that experimental results are not very extensive , their periodic and group trends are less well defined than other periods .","although the rarity of many of these elements [MASK] that experimental results are not very extensive , their periodic and group trends are less well defined than other periods .",means,means,30,6,1,0,8,1,1,,sg
article,displays,display,an article with hidden categories but no non-hidden categories no longer displays an empty gray box at the bottom .,an article with hidden categories but no non-hidden categories no longer [MASK] an empty gray box at the bottom .,displays,display,20,10,2,0,11,2,7,,sg
age,makes,make,"its mass has been estimated as seven times that of the sun , and its estimated age of 40 million years makes it much younger than the sun .","its mass has been estimated as seven times that of the sun , and its estimated age of 40 million years [MASK] it much younger than the sun .",makes,makes,29,5,4,2,21,2,1,,sg
analysis,suggests,suggest,an analysis of accounts by people who knew him suggests that he was suffering from psychosis and mystical delusions .,an analysis of accounts by people who knew him [MASK] that he was suffering from psychosis and mystical delusions .,suggests,suggests,20,8,2,1,9,1,6,,sg
wife,has,have,"his new wife , kate , who is nineteen years younger than he is , has a three-year-old daughter named muffin and an unnamed son called baby boy .","his new wife , kate , who is nineteen years younger than he is , [MASK] a three-year-old daughter named muffin and an unnamed son called baby boy .",has,has,29,13,1,0,15,1,6,,sg
merge,links,link,"merge to illicit antiquities , which already links to it .","merge to illicit antiquities , which already [MASK] to it .",link,link,11,7,1,1,7,1,4,,sg
ability,remains,remain,"as a result , the ability of the embassy to provide services to american citizens remains extremely limited .","as a result , the ability of the embassy to provide services to american citizens [MASK] extremely limited .",remains,remains,19,10,4,1,15,2,1,,sg
science,describes,describe,the science of linguistics describes the structure of language and the relationship between languages .,the science of linguistics [MASK] the structure of language and the relationship between languages .,describes,describes,15,3,1,0,4,0,none,,sg
reaction,leads,lead,the reaction of some members leads me to believe that that has not been happening .,the reaction of some members [MASK] me to believe that that has not been happening .,leads,leads,16,4,1,0,5,1,1,,sg
check,reveals,reveal,a quick check of some of his teammates reveals the absence in the lead of any irish names .,a quick check of some of his teammates [MASK] the absence in the lead of any irish names .,reveals,reveals,19,6,1,0,8,1,1,,sg
construction,appears,appear,the first is that the construction of these castles appears to have been linked to periods of instability and insecurity in the areas concerned .,the first is that the construction of these castles [MASK] to have been linked to periods of instability and insecurity in the areas concerned .,appears,appears,25,4,1,0,9,1,1,,sg
name,comes,come,the name of the machines comes from the fact that the mill used to be the fifth when modo ab owned it .,the name of the machines [MASK] from the fact that the mill used to be the fifth when modo ab owned it .,comes,comes,23,4,1,0,5,1,1,,sg
list,comprises,comprise,this chronological list of managers of falkirk football club comprises all those who have held the position of manager of the first team of falkirk since the position was created in 1905 .,this chronological list of managers of falkirk football club [MASK] all those who have held the position of manager of the first team of falkirk since the position was created in 1905 .,comprise,comprise,33,7,3,0,9,1,5,,sg
superman,engages,engage,"superman , his mind controlled by maxwell lord , brutally beats batman and engages in a vicious fight with wonder woman , thinking she is his enemy doomsday .","superman , his mind controlled by maxwell lord , brutally beats batman and [MASK] in a vicious fight with wonder woman , thinking she is his enemy doomsday .",engages,engages,29,13,1,2,13,0,none,,sg
set,has,have,"each set of elements has a least upper bound and a greatest lower bound , so that it forms a lattice , and more specifically ( for partitions of a finite set ) it is a geometric lattice .","each set of elements [MASK] a least upper bound and a greatest lower bound , so that it forms a lattice , and more specifically ( for partitions of a finite set ) it is a geometric lattice .",has,has,39,3,1,0,4,1,1,,sg
term,includes,include,"the broad term special effects includes all the techniques here , but more commonly there are two categories of effects .","the broad term special effects [MASK] all the techniques here , but more commonly there are two categories of effects .",includes,includes,21,3,1,0,5,1,1,,sg
research,develops,develop,"research in psychometrics develops methods of practice and analysis of psychological measurement , for example , developing a questionnaire to test memory and methods of analyzing data from that questionnaire .","research in psychometrics [MASK] methods of practice and analysis of psychological measurement , for example , developing a questionnaire to test memory and methods of analyzing data from that questionnaire .",develop,develops,31,3,0,0,3,0,none,,sg
study,combines,combine,"the study of polymers combines elements of chemical and statistical thermodynamics to give thermodynamic , as well as mechanical , descriptions of physical properties .","the study of polymers [MASK] elements of chemical and statistical thermodynamics to give thermodynamic , as well as mechanical , descriptions of physical properties .",combines,combines,25,3,1,0,4,1,1,,sg
lack,tells,tell,the lack of results from those discussions tells me that mediation will not work .,the lack of results from those discussions [MASK] me that mediation will not work .,tells,tells,15,6,2,0,7,2,1,,sg
purpose,remains,remain,"the purpose of these earthworks remains a mystery , but as they are too small for military use they may have served to demarcate territory .","the purpose of these earthworks [MASK] a mystery , but as they are too small for military use they may have served to demarcate territory .",remains,remains,26,4,1,0,5,1,1,,sg
board,consists,consist,"as of may 2013 , intel 's board of directors consists of andy bryant , john donahoe , frank yeary , ambassador charlene barshefsky , susan decker , reed hundt , paul otellini , james plummer , david pottruck , and david yoffie .","as of may 2013 , intel 's board of directors [MASK] of andy bryant , john donahoe , frank yeary , ambassador charlene barshefsky , susan decker , reed hundt , paul otellini , james plummer , david pottruck , and david yoffie .",consists,consists,44,3,1,0,10,1,1,,sg
style,suggests,suggest,"the style of the windows suggests a sixteenth century date , possibly even post-dissolution .","the style of the windows [MASK] a sixteenth century date , possibly even post-dissolution .",suggests,suggests,15,4,1,0,5,1,1,,sg
list,exists,exist,"a list of ps2 games like this one already exists , making the article up for deletion redundant .","a list of ps2 games like this one already [MASK] , making the article up for deletion redundant .",exists,exists,19,8,3,0,9,1,5,,sg
exchange,marks,mark,this exchange of goods marks the beginning of the columbian exchange .,this exchange of goods [MASK] the beginning of the columbian exchange .,marks,marks,12,3,1,0,4,1,1,,sg
read,implies,imply,a quick read of some sections implies it needs a good copyedit and some of the wording is clumsy .,a quick read of some sections [MASK] it needs a good copyedit and some of the wording is clumsy .,implies,implies,20,4,1,0,6,1,1,,sg
idea,approaches,approach,"and again , the idea that the history of investigations into who the egyptians were started and ended with afrocentric approaches is the most ignorant nonsense i 've seen on wikipedia .","and again , the idea that the history of investigations into who the egyptians were started and ended with afrocentric [MASK] is the most ignorant nonsense i 've seen on wikipedia .",approaches,approach,32,16,2,2,20,1,11,,sg
organ,has,have,"the storage organ of the cyclamen has no papery covering and , depending on the species , roots may grow out of any part .","the storage organ of the cyclamen [MASK] no papery covering and , depending on the species , roots may grow out of any part .",has,has,25,4,1,0,6,0,none,,sg
range,makes,make,"the wide range of natural colors makes it easy to have a variety of colors without the need for dyeing , although natural vegetable dyes are sometimes used to produce deeper colors and wider selection .","the wide range of natural colors [MASK] it easy to have a variety of colors without the need for dyeing , although natural vegetable dyes are sometimes used to produce deeper colors and wider selection .",makes,makes,36,4,1,0,6,1,1,,sg
type,remains,remain,the cell type from which these tumours originate remains unknown .,the cell type from which these tumours originate [MASK] unknown .,remain,remains,11,6,2,1,8,1,2,,sg
article,provides,provide,"sally kenney 's article on clerks , or référendaires , on the european court of justice ( ecj ) provides one detailed point of comparison ( 2000 ) .","sally kenney 's article on clerks , or référendaires , on the european court of justice ( ecj ) [MASK] one detailed point of comparison ( 2000 ) .",provides,provide,29,16,3,0,19,2,11,,sg
queen,accuses,accuse,"when the gossip queen of the '09ers , carrie bishop , accuses veronica 's favorite teacher , mr .","when the gossip queen of the '09ers , carrie bishop , [MASK] veronica 's favorite teacher , mr .",accuses,accuses,19,8,2,0,11,0,none,,sg
dispute,appears,appear,the dispute between the british and irish governments over the names of their respective states now appears to have been resolved .,the dispute between the british and irish governments over the names of their respective states now [MASK] to have been resolved .,appears,appears,22,15,3,0,16,3,2,,sg
sample,includes,include,"a sample of his scholarly articles includes publications in the harvard law review , harvard international law journal , michigan law review , duke law journal , ohio state law journal , and the american bar association journal .","a sample of his scholarly articles [MASK] publications in the harvard law review , harvard international law journal , michigan law review , duke law journal , ohio state law journal , and the american bar association journal .",include,include,39,5,1,0,6,1,1,,sg
scan,shows,show,a quick scan of google images shows they are all available .,a quick scan of google images [MASK] they are all available .,shows,shows,12,4,1,0,6,1,1,,sg
fruit,has,have,the fruit of this species has yellow flesh .,the fruit of this species [MASK] yellow flesh .,has,has,9,4,1,0,5,0,none,,sg
structure,comprises,comprise,"electronic band structure in superlattices comprises the so called minibands , which appear due to quantum confinement effects .","electronic band structure in superlattices [MASK] the so called minibands , which appear due to quantum confinement effects .",comprise,comprises,19,3,2,0,5,1,1,,sg
way,seems,seem,"i agree that it should be , but the way people get adminned or de-adminned seems to be changing quite rapidly in recent days .","i agree that it should be , but the way people get adminned or de-adminned [MASK] to be changing quite rapidly in recent days .",seems,seem,25,6,1,3,15,0,none,,sg
note,has,have,"the note of ideb development index ( basic education ) , which is evaluated every two years , has the rate of 5 .","the note of ideb development index ( basic education ) , which is evaluated every two years , [MASK] the rate of 5 .",has,has,24,17,4,1,18,1,2,,sg
nicholas,encourages,encourage,nicholas sanctifies the seizure of non-christian lands discovered during the age of discovery and encourages the enslavement of natives .,nicholas sanctifies the seizure of non-christian lands discovered during the age of discovery and [MASK] the enslavement of natives .,encourage,encourage,20,14,3,2,14,1,8,,sg
discovery,raises,raise,the discovery of extrasolar planets further raises the question of whether some might support extraterrestrial life .,the discovery of extrasolar planets further [MASK] the question of whether some might support extraterrestrial life .,raises,raises,17,5,1,0,6,1,2,,sg
similarity,suggests,suggest,"the ips do not appear to be directly related to gg , although the similarity of the edits suggests that they may be other individuals acting as proxies for him .","the ips do not appear to be directly related to gg , although the similarity of the edits [MASK] that they may be other individuals acting as proxies for him .",suggest,suggest,31,4,2,2,18,2,1,,sg
list,means,mean,a list of sources means nothing unless it is shown that they contain significant coverage .,a list of sources [MASK] nothing unless it is shown that they contain significant coverage .,means,means,16,3,1,0,4,1,1,,sg
language,allows,allow,"further , the language of mathematics allows economists to make specific , positive claims about controversial or contentious subjects that would be impossible without mathematics .","further , the language of mathematics [MASK] economists to make specific , positive claims about controversial or contentious subjects that would be impossible without mathematics .",allows,allows,26,3,1,0,6,0,none,,sg
area,involves,involve,one well-studied area of mathematics involves examining whether we can create some simple function to approximate a more complex equation near a given point .,one well-studied area of mathematics [MASK] examining whether we can create some simple function to approximate a more complex equation near a given point .,involves,involve,25,3,0,1,5,0,none,,sg
structure,consists,consist,the support structure of these towers consists of pre-stressed concrete elements that were fabricated off-site and assembled on-site with a crane .,the support structure of these towers [MASK] of pre-stressed concrete elements that were fabricated off-site and assembled on-site with a crane .,consists,consists,22,4,2,0,6,1,1,,sg
fact,indicates,indicate,the fact that at times he acted as chief of the general staff during world war ii indicates that van ryneveld had immense trust in his abilities .,the fact that at times he acted as chief of the general staff during world war ii [MASK] that van ryneveld had immense trust in his abilities .,indicates,indicates,28,16,3,1,17,1,13,,sg
profile,exists,exist,a special profile for trains also exists .,a special profile for trains also [MASK] .,exists,exists,8,4,1,0,6,1,2,,sg
reason,comes,come,"firmly i believe a reason like literally hundreds of thousands of porn websites comes only to destroy , with no relevant ground .","firmly i believe a reason like literally hundreds of thousands of porn websites [MASK] only to destroy , with no relevant ground .",come,comes,23,9,4,1,13,3,1,,sg
phrase,creates,create,"nonetheless , we believe that the phrase legitimately on premises coined in jones creates too broad a gauge for measurement of fourth amendment rights .","nonetheless , we believe that the phrase legitimately on premises coined in jones [MASK] too broad a gauge for measurement of fourth amendment rights .",create,create,25,7,1,2,13,1,4,,sg
lack,seems,seem,this lack of records seems to be due to discontinuing the recording of baptisms and other records when cromwell was in power during the commonwealth following the english civil war .,this lack of records [MASK] to be due to discontinuing the recording of baptisms and other records when cromwell was in power during the commonwealth following the english civil war .,seems,seems,31,3,1,0,4,1,1,,sg
notice,requires,require,"notice that there is no bd term , because the definition of dual numbers requires that .","notice that there is no bd term , because the definition of dual numbers [MASK] that .",requires,requires,17,14,4,2,14,1,1,,sg
conrad,declares,declare,"marshal conrad ( albert dekker ) , the town 's upstanding banker , intervenes , however , and declares lat the winner .","marshal conrad ( albert dekker ) , the town 's upstanding banker , intervenes , however , and [MASK] lat the winner .",declares,declares,23,17,2,1,18,0,none,,sg
communication,seems,seem,"this communication , not limited to other binnaums , seems to take the form of telepathically transmitted imagery .","this communication , not limited to other binnaums , [MASK] to take the form of telepathically transmitted imagery .",seem,seem,19,8,1,1,9,1,2,,sg
board,selects,select,"the hall 's board of directors selects a committee of 16 voters for each era , made up of hall of famers , executives , baseball historians , and media members .","the hall 's board of directors [MASK] a committee of 16 voters for each era , made up of hall of famers , executives , baseball historians , and media members .",select,select,32,3,2,0,6,1,1,,sg
sequence,follows,follow,"a sequence of scenes follows the explorations of david bowman , who has been transformed into a non-corporeal , energy-based life-form , much like the aliens controlling the monoliths .","a sequence of scenes [MASK] the explorations of david bowman , who has been transformed into a non-corporeal , energy-based life-form , much like the aliens controlling the monoliths .",follow,follows,30,3,1,0,4,1,1,,sg
article,contains,contain,"this article on the demographics of houston contains information on population characteristics of houston , texas , including households , family status , age , gender , income , race and ethnicity .","this article on the demographics of houston [MASK] information on population characteristics of houston , texas , including households , family status , age , gender , income , race and ethnicity .",contains,contains,33,6,1,0,7,1,3,,sg
label,describes,describe,"the label on the bottles describes each as pick-me-up cologne spray , rather than more usual perfumery categories such as eau de toilette or eau de parfum .","the label on the bottles [MASK] each as pick-me-up cologne spray , rather than more usual perfumery categories such as eau de toilette or eau de parfum .",describes,describes,28,4,1,0,5,1,1,,sg
computer,needs,need,"because unicode can be encoded as 16-bit or 32-bit integers , a computer receiving these encodings from arbitrary sources needs to know which byte order the integers are encoded in .","because unicode can be encoded as 16-bit or 32-bit integers , a computer receiving these encodings from arbitrary sources [MASK] to know which byte order the integers are encoded in .",needs,need,31,7,4,2,19,1,10,,sg
bachelor,includes,include,bachelor of arts in social work ( basw ) the basw program includes a liberal arts base and prepares students for entry-level generalist social work and for graduate education .,bachelor of arts in social work ( basw ) the basw program [MASK] a liberal arts base and prepares students for entry-level generalist social work and for graduate education .,include,includes,30,12,5,0,12,1,10,,sg
couple,gets,get,"for more unique solutions , one would add the condition that the couple with the most cows gets no gold .","for more unique solutions , one would add the condition that the couple with the most cows [MASK] no gold .",gets,gets,21,5,3,1,17,2,1,,sg
discussion,tends,tend,the mainstream discussion of reparations tends not focus on monetary damages as in a lawsuit .,the mainstream discussion of reparations [MASK] not focus on monetary damages as in a lawsuit .,tends,tend,16,3,2,0,5,1,1,,sg
family,continues,continue,"merle hay mall is independently owned by the merle hay mall limited partnership , and the family of one of its original developers continues to manage the mall .","merle hay mall is independently owned by the merle hay mall limited partnership , and the family of one of its original developers [MASK] to manage the mall .",continues,continues,29,7,2,1,23,1,1,,sg
building,exhibits,exhibit,"the national art gallery 's two storied building , constructed on the national academy of fine and performing art grounds , exhibits ways to prevent aging due to environmental factors and artwork from their permanent and temporary collection .","the national art gallery 's two storied building , constructed on the national academy of fine and performing art grounds , [MASK] ways to prevent aging due to environmental factors and artwork from their permanent and temporary collection .",exhibit,exhibit,39,14,4,2,21,1,2,,sg
screen,gives,give,the wooden screen with openable windows gives shade and protection from the hot summer sun while allowing the cool air from the street to flow through .,the wooden screen with openable windows [MASK] shade and protection from the hot summer sun while allowing the cool air from the street to flow through .,gives,gives,27,4,1,0,6,1,1,,sg
list,includes,include,"indiscriminate list of events , as it includes some but not necessarily all events to take place at the old yankee stadium .","indiscriminate list of events , as it [MASK] some but not necessarily all events to take place at the old yankee stadium .",includes,includes,23,6,1,0,7,1,4,,sg
work,shows,show,"however , at this point i believe that swatjester 's work over the last few months shows that any such concerns are no longer operative .","however , at this point i believe that swatjester 's work over the last few months [MASK] that any such concerns are no longer operative .",show,show,26,6,3,1,16,1,1,,sg
section,contains,contain,"an infantry section of eight men contains two fireteams , charlie and delta , each comprising an nco ( corporal or lance corporal ) and three privates .","an infantry section of eight men [MASK] two fireteams , charlie and delta , each comprising an nco ( corporal or lance corporal ) and three privates .",contains,contains,28,4,2,0,6,1,1,,sg
reason,has,have,"although he gives experimental details of crowds collectively swayed by a persuasive speaker , he says that the main reason that groups of people intellectually conform is that the system for making decisions has a systematic flaw .","although he gives experimental details of crowds collectively swayed by a persuasive speaker , he says that the main reason that groups of people intellectually conform is that the system for making decisions [MASK] a systematic flaw .",has,has,38,14,7,5,33,4,1,,sg
range,extends,extend,the wide range of possibilities extends the use of the dispenser to various other locations other than the bathroom .,the wide range of possibilities [MASK] the use of the dispenser to various other locations other than the bathroom .,extends,extend,20,3,1,0,5,1,1,,sg
list,includes,include,"the list of highways in wahkiakum county , washington includes all state highways located in wahkiakum county , located on the columbia river .","the list of highways in wahkiakum county , washington [MASK] all state highways located in wahkiakum county , located on the columbia river .",include,include,24,8,3,0,9,1,6,,sg
generation,means,mean,"second , the emerging generation of multicore chips means that performance-critical applications must effectively leverage concurrency .","second , the emerging generation of multicore chips [MASK] that performance-critical applications must effectively leverage concurrency .",means,means,17,4,1,1,8,1,1,,sg
pin,has,have,"the fibre-optic pin of the robots has a hydrophobic side surface and a hydrophilic tip , and operates at a dew temperature to prevent evaporation of the sample during transfer .","the fibre-optic pin of the robots [MASK] a hydrophobic side surface and a hydrophilic tip , and operates at a dew temperature to prevent evaporation of the sample during transfer .",has,have,31,4,2,0,6,0,none,,sg
death,leaves,leave,the awaited death of one of the protagonists leaves the other facing the bitter loneliness .,the awaited death of one of the protagonists [MASK] the other facing the bitter loneliness .,leaves,leaves,16,6,1,1,8,1,1,,sg
ability,helps,help,"the ability to use multiple specific customizations helps to make magicdraw better oriented to specific platforms , technologies or domains , and can even hide uml entirely .","the ability to use multiple specific customizations [MASK] to make magicdraw better oriented to specific platforms , technologies or domains , and can even hide uml entirely .",helps,helps,28,6,1,1,7,1,1,,sg
income,measures,measure,"national income , measured by statistics such as the net national income ( nni ) , measures the total income of individuals , corporations , and government in the economy .","national income , measured by statistics such as the net national income ( nni ) , [MASK] the total income of individuals , corporations , and government in the economy .",measure,measure,31,15,1,1,16,1,11,,sg
death,occurs,occur,"death of toreros or écarteurs , although rare , unfortunately occurs occasionally .","death of toreros or écarteurs , although rare , unfortunately [MASK] occasionally .",occur,occur,13,10,2,0,10,2,6,,sg
episode,starts,start,"the first episode , shadows of doubt , starts with miller in the reading room at the british museum describing the purpose of the series , and gives a brief montage of the interviewees .","the first episode , shadows of doubt , [MASK] with miller in the reading room at the british museum describing the purpose of the series , and gives a brief montage of the interviewees .",starts,starts,35,6,2,0,8,1,4,,sg
method,means,mean,"indeed , given that he does not want to create an account ( which is his prerogative ) , his method of signing the posts means that we can always easily identify him as a person even should his ip change .","indeed , given that he does not want to create an account ( which is his prerogative ) , his method of signing the posts [MASK] that we can always easily identify him as a person even should his ip change .",mean,means,42,5,3,4,25,1,1,,sg
list,gives,give,"the list of units engaged gives 105 air force combat jets , of which 34 were lost , and 18 navy jets with 5 lost .","the list of units engaged [MASK] 105 air force combat jets , of which 34 were lost , and 18 navy jets with 5 lost .",gives,gives,26,4,1,1,5,1,2,,sg
suggestion,ignores,ignore,your suggestion to get back to discusing the proposed moves ignores the effect of this sort of rampage .,your suggestion to get back to discusing the proposed moves [MASK] the effect of this sort of rampage .,ignore,ignore,19,9,1,3,10,1,1,,sg
mixture,includes,include,"down the western edge , a good mixture of shrubs includes burnet rose , guelder-rose , spindle , wayfaring-tree and wild privet .","down the western edge , a good mixture of shrubs [MASK] burnet rose , guelder-rose , spindle , wayfaring-tree and wild privet .",include,include,23,3,2,0,10,1,1,,sg
report,appears,appear,the olympic flair report to imo mentions suspicious boats operating close to the olympic flair and appears to point to a separate incident which involves maritime thieves .,the olympic flair report to imo mentions suspicious boats operating close to the olympic flair and [MASK] to point to a separate incident which involves maritime thieves .,appear,appears,28,13,3,2,16,1,8,,sg
entry,marks,mark,"worthy is the lamb , leading to the apocalyptic amen in which , says hogwood , the entry of the trumpets marks the final storming of heaven .","worthy is the lamb , leading to the apocalyptic amen in which , says hogwood , the entry of the trumpets [MASK] the final storming of heaven .",mark,mark,28,4,4,2,21,2,1,,sg
pattern,appears,appear,"if a layer of liquid is placed on top of a vertically oscillating piston , a pattern of standing waves appears which oscillates at half the driving frequency , given certain criteria of instability .","if a layer of liquid is placed on top of a vertically oscillating piston , a pattern of standing waves [MASK] which oscillates at half the driving frequency , given certain criteria of instability .",appear,appears,35,4,5,3,20,1,1,,sg
drive,takes,take,"from brisbane , the drive to the falls takes roughly 2 hours .","from brisbane , the drive to the falls [MASK] roughly 2 hours .",takes,takes,13,4,1,0,8,0,none,,sg
height,reaches,reach,the height of the surrounding hills reaches in the upper reaches and at the mouth .,the height of the surrounding hills [MASK] in the upper reaches and at the mouth .,reaches,reaches,16,5,1,1,6,1,1,,sg
combination,encourages,encourage,this combination of factors encourages significant wildlife movement and use .,this combination of factors [MASK] significant wildlife movement and use .,encourages,encourages,11,3,1,0,4,1,1,,sg
father,appears,appear,"his father , who had many sons , appears to have made no effort to obtain duncan 's return .","his father , who had many sons , [MASK] to have made no effort to obtain duncan 's return .",appears,appears,20,7,1,1,8,1,2,,sg
month,means,mean,an extra month in many places means an extra crop can be grown .,an extra month in many places [MASK] an extra crop can be grown .,means,means,14,4,1,0,6,1,1,,sg
count,gives,give,"vote count which is decisive in drv discussions gives 10 votes to overturn , 11 to endorse closure .","vote count which is decisive in drv discussions [MASK] 10 votes to overturn , 11 to endorse closure .",gives,gives,19,7,3,0,8,1,1,,sg
number,suggests,suggest,oppose low number of project-space edits suggests lack of familiarity with wiki-process .,oppose low number of project-space edits [MASK] lack of familiarity with wiki-process .,suggest,suggest,13,4,1,1,6,0,none,,sg
coat,comprises,comprise,"the company 's coat of arms , granted in 1693 , comprises elements reflecting the importance of world-wide trade , the royal charter status the company holds , and its origins as a merchants ' guild .","the company 's coat of arms , granted in 1693 , [MASK] elements reflecting the importance of world-wide trade , the royal charter status the company holds , and its origins as a merchants ' guild .",comprises,comprises,37,8,2,1,11,1,6,,sg
distinction,follows,follow,"in the following listing , the distinction between languages and dialects follows ethnologue .","in the following listing , the distinction between languages and dialects [MASK] ethnologue .",follows,follows,14,5,3,1,11,2,1,,sg
list,includes,include,this list of ramsar sites in british overseas territories includes wetlands that are considered to be of international importance under the ramsar convention .,this list of ramsar sites in british overseas territories [MASK] wetlands that are considered to be of international importance under the ramsar convention .,includes,include,24,8,3,0,9,2,1,,sg
oil,has,have,"from experimentation , scientists have seen that the sugar apple oil ( and other natural oils ) has the same strength as insecticides but with the benefit of not causing pollution .","from experimentation , scientists have seen that the sugar apple oil ( and other natural oils ) [MASK] the same strength as insecticides but with the benefit of not causing pollution .",have,have,32,7,5,1,17,2,2,,sg
area,gives,give,"the very high specific surface area of colloids and their net negative charges , gives soil its great ability to hold and release cations in what is referred to as cation exchange .","the very high specific surface area of colloids and their net negative charges , [MASK] soil its great ability to hold and release cations in what is referred to as cation exchange .",gives,gives,33,9,3,0,14,2,2,,sg
custom,sounds,sound,luther 's custom of referring to those who opposed him in non-christian terms in the sacrament of the body and blood of christ sounds unusual to modern ears and therefore merits discussion .,luther 's custom of referring to those who opposed him in non-christian terms in the sacrament of the body and blood of christ [MASK] unusual to modern ears and therefore merits discussion .,sound,sound,33,21,4,2,23,1,11,,sg
cluster,forms,form,regional municipalities are usually implemented in census divisions where an interconnected cluster of urban centres forms the majority of the division 's area and population .,regional municipalities are usually implemented in census divisions where an interconnected cluster of urban centres [MASK] the majority of the division 's area and population .,forms,forms,26,4,4,1,15,3,1,,sg
category,comprises,comprise,another broad category of gestures comprises those gestures used spontaneously when we speak .,another broad category of gestures [MASK] those gestures used spontaneously when we speak .,comprises,comprises,14,3,1,0,5,1,1,,sg
spoiler,spans,span,a spoiler which is larger than those on the previous models spans the top rear bumper .,a spoiler which is larger than those on the previous models [MASK] the top rear bumper .,spans,spans,17,10,1,0,11,1,1,,sg
discussion,tends,tend,"without an explicit understanding of how things work and how work is actually done , any discussion of problems tends to be emotional , anecdotal and subjective .","without an explicit understanding of how things work and how work is actually done , any discussion of problems [MASK] to be emotional , anecdotal and subjective .",tends,tends,28,3,4,2,19,2,1,,sg
experience,gives,give,"this recollected experience , which omits many details of what really happened , gives the book its artistic shape .","this recollected experience , which omits many details of what really happened , [MASK] the book its artistic shape .",give,give,20,11,1,3,13,1,6,,sg
staircase,rises,rise,a walnut staircase with turned balusters rises to the second floor .,a walnut staircase with turned balusters [MASK] to the second floor .,rise,rise,12,4,2,1,6,1,1,,sg
theory,needs,need,"in any case , the basic theory of cfe from bulk metals needs to be understood first .","in any case , the basic theory of cfe from bulk metals [MASK] to be understood first .",needs,needs,18,6,3,0,12,1,1,,sg
list,comprises,comprise,the list of ramsar wetlands of thailand comprises thai wetlands deemed to be of international importance under the ramsar convention .,the list of ramsar wetlands of thailand [MASK] thai wetlands deemed to be of international importance under the ramsar convention .,comprise,comprises,21,6,2,0,7,1,3,,sg
team,receives,receive,the team that breaks the most pots after 3 rounds receives immunity .,the team that breaks the most pots after 3 rounds [MASK] immunity .,receives,receives,13,9,2,1,10,2,1,,sg
